,time,player,wood,food,gold,stone,vils,mils
3,0,Mr.Gold,0,0,0,0,0,0
7,100,Mr.Gold,1,1,1,0,0,0
11,200,Mr.Gold,2,2,2,1,0,0
15,300,Mr.Gold,3,3,3,2,0,0
19,400,Mr.Gold,4,4,4,3,0,0
23,500,Mr.Gold,5,5,5,3,0,0
27,600,Mr.Gold,6,6,6,4,0,0
31,700,Mr.Gold,7,7,7,5,0,0
35,800,Mr.Gold,8,8,8,6,0,0
39,900,Mr.Gold,9,9,9,6,0,0
43,1000,Mr.Gold,10,10,11,7,0,0
47,1100,Mr.Gold,11,11,12,8,0,0
51,1200,Mr.Gold,12,12,13,9,0,0
55,1300,Mr.Gold,13,13,14,9,0,0
59,1400,Mr.Gold,14,14,15,10,0,0
63,1500,Mr.Gold,15,15,16,11,0,0
67,1600,Mr.Gold,16,16,17,12,0,0
71,1700,Mr.Gold,17,17,18,12,0,0
75,1800,Mr.Gold,18,18,19,13,0,0
79,1900,Mr.Gold,19,19,20,14,0,0
83,2000,Mr.Gold,20,20,22,15,0,0
87,2100,Mr.Gold,21,21,23,15,0,0
91,2200,Mr.Gold,22,22,24,16,0,0
95,2300,Mr.Gold,23,23,25,17,0,0
99,2400,Mr.Gold,24,24,26,18,0,0
103,2500,Mr.Gold,25,25,27,18,0,0
107,2600,Mr.Gold,26,26,28,19,0,0
111,2700,Mr.Gold,27,27,29,20,0,0
115,2800,Mr.Gold,28,28,30,21,0,0
119,2900,Mr.Gold,29,29,31,21,0,0
123,3000,Mr.Gold,30,30,33,22,0,0
127,3100,Mr.Gold,31,31,34,23,0,0
131,3200,Mr.Gold,32,32,35,24,0,0
135,3300,Mr.Gold,33,33,36,24,0,0
139,3400,Mr.Gold,35,34,37,25,0,0
143,3500,Mr.Gold,36,35,38,26,0,0
147,3600,Mr.Gold,37,36,39,27,0,0
151,3700,Mr.Gold,38,37,40,27,0,0
155,3800,Mr.Gold,39,38,41,28,0,0
159,3900,Mr.Gold,40,39,42,29,0,0
