,time,player,wood,food,gold,stone,vils,mils
2,0,TheBooyash,0,0,0,0,0,0
6,100,TheBooyash,1,1,0,0,0,0
10,200,TheBooyash,2,2,1,1,0,0
14,300,TheBooyash,3,3,2,2,0,0
18,400,TheBooyash,4,4,3,3,0,0
22,500,TheBooyash,5,5,4,4,0,0
26,600,TheBooyash,6,7,5,5,0,0
30,700,TheBooyash,7,8,6,6,0,0
34,800,TheBooyash,8,9,7,7,0,0
38,900,TheBooyash,10,10,8,8,0,0
42,1000,TheBooyash,11,11,9,8,0,0
46,1100,TheBooyash,12,12,9,9,0,0
50,1200,TheBooyash,13,14,10,10,0,0
54,1300,TheBooyash,14,15,11,11,0,0
58,1400,TheBooyash,15,16,12,12,0,0
62,1500,TheBooyash,16,17,13,13,0,0
66,1600,TheBooyash,17,18,14,14,0,0
70,1700,TheBooyash,19,20,15,15,0,0
74,1800,TheBooyash,20,21,16,16,0,0
78,1900,TheBooyash,21,22,17,16,0,0
82,2000,TheBooyash,22,23,18,17,0,0
86,2100,TheBooyash,23,24,18,18,0,0
90,2200,TheBooyash,24,25,19,19,0,0
94,2300,TheBooyash,25,27,20,20,0,0
98,2400,TheBooyash,26,28,21,21,0,0
102,2500,TheBooyash,28,29,22,22,0,0
106,2600,TheBooyash,29,30,23,23,0,0
110,2700,TheBooyash,30,31,24,24,0,0
114,2800,TheBooyash,31,33,25,24,0,0
118,2900,TheBooyash,32,34,26,25,0,0
122,3000,TheBooyash,33,35,27,26,0,0
126,3100,TheBooyash,34,36,27,27,0,0
130,3200,TheBooyash,35,37,28,28,0,0
134,3300,TheBooyash,36,38,29,29,0,0
138,3400,TheBooyash,38,40,30,30,0,0
142,3500,TheBooyash,39,41,31,31,0,0
146,3600,TheBooyash,40,42,32,32,0,0
150,3700,TheBooyash,41,43,33,32,0,0
154,3800,TheBooyash,42,44,34,33,0,0
158,3900,TheBooyash,43,46,35,34,0,0
162,4000,TheBooyash,44,47,36,35,0,0
166,4100,TheBooyash,45,48,36,36,0,0
170,4200,TheBooyash,47,49,37,37,0,0
174,4300,TheBooyash,48,50,38,38,0,0
178,4400,TheBooyash,49,51,39,39,0,0
182,4500,TheBooyash,50,53,40,40,0,0
186,4600,TheBooyash,51,54,41,40,0,0
190,4700,TheBooyash,52,55,42,41,0,0
194,4800,TheBooyash,53,56,43,42,0,0
198,4900,TheBooyash,54,57,44,43,0,0
202,5000,TheBooyash,56,59,45,44,0,0
206,5100,TheBooyash,57,60,45,45,0,0
210,5200,TheBooyash,58,61,46,46,0,0
214,5300,TheBooyash,59,62,47,47,0,0
218,5400,TheBooyash,60,63,48,48,0,0
222,5500,TheBooyash,61,64,49,48,0,0
226,5600,TheBooyash,62,66,50,49,0,0
230,5700,TheBooyash,63,67,51,50,0,0
234,5800,TheBooyash,64,68,52,51,0,0
238,5900,TheBooyash,66,69,53,52,0,0
242,6000,TheBooyash,67,70,54,53,0,0
246,6100,TheBooyash,68,71,54,54,0,0
250,6200,TheBooyash,69,73,55,55,0,0
254,6300,TheBooyash,70,74,56,56,0,0
258,6400,TheBooyash,71,75,57,56,0,0
262,6500,TheBooyash,72,76,58,57,0,0
266,6600,TheBooyash,73,77,59,58,0,0
270,6700,TheBooyash,75,79,60,59,0,0
274,6800,TheBooyash,76,80,61,60,0,0
278,6900,TheBooyash,77,81,62,61,0,0
282,7000,TheBooyash,78,82,63,62,0,0
286,7100,TheBooyash,79,83,63,63,0,0
290,7200,TheBooyash,80,84,64,64,0,0
294,7300,TheBooyash,81,86,65,64,0,0
298,7400,TheBooyash,82,87,66,65,0,0
302,7500,TheBooyash,84,88,67,66,0,0
306,7600,TheBooyash,85,89,68,67,0,0
310,7700,TheBooyash,86,90,69,68,0,0
314,7800,TheBooyash,87,92,70,69,0,0
318,7900,TheBooyash,88,93,71,70,0,0
322,8000,TheBooyash,89,94,72,71,0,0
326,8100,TheBooyash,90,95,72,72,0,0
330,8200,TheBooyash,91,96,73,72,0,0
334,8300,TheBooyash,92,97,74,73,0,0
338,8400,TheBooyash,94,99,75,74,0,0
342,8500,TheBooyash,95,100,76,75,0,0
346,8600,TheBooyash,96,101,77,76,0,0
350,8700,TheBooyash,97,102,78,77,0,0
354,8800,TheBooyash,98,103,79,78,0,0
358,8900,TheBooyash,99,105,80,79,0,0
362,9000,TheBooyash,100,106,81,80,0,0
366,9100,TheBooyash,101,107,81,80,0,0
370,9200,TheBooyash,103,108,82,81,0,0
374,9300,TheBooyash,104,109,83,82,0,0
378,9400,TheBooyash,105,110,84,83,0,0
382,9500,TheBooyash,106,112,85,84,0,0
386,9600,TheBooyash,107,113,86,85,0,0
