,time,player,wood,food,gold,stone,vils,mils
1,0,TheHeleeee,0,0,0,0,0,0
5,100,TheHeleeee,1,1,0,0,0,0
9,200,TheHeleeee,2,2,1,1,0,0
13,300,TheHeleeee,3,3,2,2,0,0
17,400,TheHeleeee,4,4,3,3,0,0
21,500,TheHeleeee,5,5,4,4,0,0
25,600,TheHeleeee,6,6,5,5,0,0
29,700,TheHeleeee,7,8,5,6,0,0
33,800,TheHeleeee,8,9,6,7,0,0
37,900,TheHeleeee,9,10,7,8,0,0
41,1000,TheHeleeee,10,11,8,9,0,0
45,1100,TheHeleeee,11,12,9,10,0,0
49,1200,TheHeleeee,12,13,10,11,0,0
53,1300,TheHeleeee,13,14,11,12,0,0
57,1400,TheHeleeee,14,16,11,13,0,0
61,1500,TheHeleeee,15,17,12,14,0,0
65,1600,TheHeleeee,16,18,13,15,0,0
69,1700,TheHeleeee,17,19,14,16,0,0
73,1800,TheHeleeee,18,20,15,17,0,0
77,1900,TheHeleeee,19,21,16,18,0,0
81,2000,TheHeleeee,21,23,17,19,0,0
85,2100,TheHeleeee,22,24,17,20,0,0
89,2200,TheHeleeee,23,25,18,21,0,0
93,2300,TheHeleeee,24,26,19,22,0,0
97,2400,TheHeleeee,25,27,20,23,0,0
101,2500,TheHeleeee,26,28,21,24,0,0
105,2600,TheHeleeee,27,29,22,25,0,0
109,2700,TheHeleeee,28,31,22,26,0,0
113,2800,TheHeleeee,29,32,23,27,0,0
117,2900,TheHeleeee,30,33,24,28,0,0
121,3000,TheHeleeee,31,34,25,29,0,0
125,3100,TheHeleeee,32,35,26,30,0,0
129,3200,TheHeleeee,33,36,27,31,0,0
133,3300,TheHeleeee,34,37,28,32,0,0
137,3400,TheHeleeee,35,39,28,32,0,0
141,3500,TheHeleeee,36,40,29,33,0,0
145,3600,TheHeleeee,37,41,30,34,0,0
149,3700,TheHeleeee,38,42,31,35,0,0
153,3800,TheHeleeee,39,43,32,36,0,0
157,3900,TheHeleeee,40,44,33,37,0,0
161,4000,TheHeleeee,42,46,34,38,0,0
165,4100,TheHeleeee,43,47,34,39,0,0
169,4200,TheHeleeee,44,48,35,40,0,0
173,4300,TheHeleeee,45,49,36,41,0,0
177,4400,TheHeleeee,46,50,37,42,0,0
181,4500,TheHeleeee,47,51,38,43,0,0
185,4600,TheHeleeee,48,52,39,44,0,0
189,4700,TheHeleeee,49,54,39,45,0,0
193,4800,TheHeleeee,50,55,40,46,0,0
197,4900,TheHeleeee,51,56,41,47,0,0
201,5000,TheHeleeee,52,57,42,48,0,0
205,5100,TheHeleeee,53,58,43,49,0,0
209,5200,TheHeleeee,54,59,44,50,0,0
213,5300,TheHeleeee,55,60,45,51,0,0
217,5400,TheHeleeee,56,62,45,52,0,0
221,5500,TheHeleeee,57,63,46,53,0,0
225,5600,TheHeleeee,58,64,47,54,0,0
229,5700,TheHeleeee,59,65,48,55,0,0
233,5800,TheHeleeee,60,66,49,56,0,0
237,5900,TheHeleeee,61,67,50,57,0,0
241,6000,TheHeleeee,63,68,51,58,0,0
245,6100,TheHeleeee,64,70,51,59,0,0
249,6200,TheHeleeee,65,71,52,60,0,0
253,6300,TheHeleeee,66,72,53,61,0,0
257,6400,TheHeleeee,67,73,54,62,0,0
261,6500,TheHeleeee,68,74,55,63,0,0
265,6600,TheHeleeee,69,75,56,64,0,0
269,6700,TheHeleeee,70,77,56,64,0,0
273,6800,TheHeleeee,71,78,57,65,0,0
277,6900,TheHeleeee,72,79,58,66,0,0
