,time,player,wood,food,gold,stone,vils,mils
0,0,TheMustache,0,0,0,0,0,0
4,100,TheMustache,1,1,0,0,0,0
8,200,TheMustache,2,2,1,1,0,0
12,300,TheMustache,3,3,2,2,0,0
16,400,TheMustache,4,4,3,3,0,0
20,500,TheMustache,5,6,4,4,0,0
24,600,TheMustache,6,7,5,5,0,0
28,700,TheMustache,7,8,6,5,0,0
32,800,TheMustache,8,9,7,6,0,0
36,900,TheMustache,9,10,8,7,0,0
40,1000,TheMustache,11,12,9,8,0,0
44,1100,TheMustache,12,13,10,9,0,0
48,1200,TheMustache,13,14,11,10,0,0
52,1300,TheMustache,14,15,12,11,0,0
56,1400,TheMustache,15,16,13,11,0,0
60,1500,TheMustache,16,18,14,12,0,0
64,1600,TheMustache,17,19,15,13,0,0
68,1700,TheMustache,18,20,16,14,0,0
72,1800,TheMustache,19,21,17,15,0,0
76,1900,TheMustache,20,22,18,16,0,0
80,2000,TheMustache,22,24,19,17,0,0
84,2100,TheMustache,23,25,19,17,0,0
88,2200,TheMustache,24,26,20,18,0,0
92,2300,TheMustache,25,27,21,19,0,0
96,2400,TheMustache,26,28,22,20,0,0
100,2500,TheMustache,27,30,23,21,0,0
104,2600,TheMustache,28,31,24,22,0,0
108,2700,TheMustache,29,32,25,22,0,0
112,2800,TheMustache,30,33,26,23,0,0
116,2900,TheMustache,31,34,27,24,0,0
120,3000,TheMustache,33,36,28,25,0,0
124,3100,TheMustache,34,37,29,26,0,0
128,3200,TheMustache,35,38,30,27,0,0
132,3300,TheMustache,36,39,31,28,0,0
136,3400,TheMustache,37,40,32,28,0,0
140,3500,TheMustache,38,42,33,29,0,0
144,3600,TheMustache,39,43,34,30,0,0
148,3700,TheMustache,40,44,35,31,0,0
152,3800,TheMustache,41,45,36,32,0,0
156,3900,TheMustache,42,46,37,33,0,0
160,4000,TheMustache,44,48,38,34,0,0
164,4100,TheMustache,45,49,38,34,0,0
168,4200,TheMustache,46,50,39,35,0,0
172,4300,TheMustache,47,51,40,36,0,0
176,4400,TheMustache,48,52,41,37,0,0
180,4500,TheMustache,49,54,42,38,0,0
184,4600,TheMustache,50,55,43,39,0,0
188,4700,TheMustache,51,56,44,39,0,0
192,4800,TheMustache,52,57,45,40,0,0
196,4900,TheMustache,53,58,46,41,0,0
200,5000,TheMustache,55,60,47,42,0,0
204,5100,TheMustache,56,61,48,43,0,0
208,5200,TheMustache,57,62,49,44,0,0
212,5300,TheMustache,58,63,50,45,0,0
216,5400,TheMustache,59,64,51,45,0,0
220,5500,TheMustache,60,66,52,46,0,0
224,5600,TheMustache,61,67,53,47,0,0
228,5700,TheMustache,62,68,54,48,0,0
232,5800,TheMustache,63,69,55,49,0,0
236,5900,TheMustache,64,70,56,50,0,0
240,6000,TheMustache,66,72,57,51,0,0
244,6100,TheMustache,67,73,57,51,0,0
248,6200,TheMustache,68,74,58,52,0,0
252,6300,TheMustache,69,75,59,53,0,0
256,6400,TheMustache,70,76,60,54,0,0
260,6500,TheMustache,71,78,61,55,0,0
264,6600,TheMustache,72,79,62,56,0,0
268,6700,TheMustache,73,80,63,56,0,0
272,6800,TheMustache,74,81,64,57,0,0
276,6900,TheMustache,75,82,65,58,0,0
280,7000,TheMustache,77,84,66,59,0,0
284,7100,TheMustache,78,85,67,60,0,0
288,7200,TheMustache,79,86,68,61,0,0
292,7300,TheMustache,80,87,69,62,0,0
296,7400,TheMustache,81,88,70,62,0,0
300,7500,TheMustache,82,90,71,63,0,0
304,7600,TheMustache,83,91,72,64,0,0
308,7700,TheMustache,84,92,73,65,0,0
312,7800,TheMustache,85,93,74,66,0,0
316,7900,TheMustache,86,94,75,67,0,0
320,8000,TheMustache,88,96,76,68,0,0
324,8100,TheMustache,89,97,76,68,0,0
328,8200,TheMustache,90,98,77,69,0,0
332,8300,TheMustache,91,99,78,70,0,0
336,8400,TheMustache,92,100,79,71,0,0
340,8500,TheMustache,93,102,80,72,0,0
344,8600,TheMustache,94,103,81,73,0,0
348,8700,TheMustache,95,104,82,73,0,0
352,8800,TheMustache,96,105,83,74,0,0
356,8900,TheMustache,97,106,84,75,0,0
360,9000,TheMustache,99,108,85,76,0,0
364,9100,TheMustache,100,109,86,77,0,0
368,9200,TheMustache,101,110,87,78,0,0
372,9300,TheMustache,102,111,88,79,0,0
376,9400,TheMustache,103,112,89,79,0,0
380,9500,TheMustache,104,114,90,80,0,0
384,9600,TheMustache,105,115,91,81,0,0
388,9700,TheMustache,106,116,92,82,0,0
392,9800,TheMustache,107,117,93,83,0,0
396,9900,TheMustache,108,118,94,84,0,0
400,10000,TheMustache,110,120,95,85,0,0
404,10100,TheMustache,111,121,95,85,0,0
408,10200,TheMustache,112,122,96,86,0,0
412,10300,TheMustache,113,123,97,87,0,0
416,10400,TheMustache,114,124,98,88,0,0
420,10500,TheMustache,115,126,99,89,0,0
424,10600,TheMustache,116,127,100,90,0,0
428,10700,TheMustache,117,128,101,90,0,0
432,10800,TheMustache,118,129,102,91,0,0
436,10900,TheMustache,119,130,103,92,0,0
440,11000,TheMustache,121,132,104,93,0,0
444,11100,TheMustache,122,133,105,94,0,0
448,11200,TheMustache,123,134,106,95,0,0
452,11300,TheMustache,124,135,107,96,0,0
456,11400,TheMustache,125,136,108,96,0,0
460,11500,TheMustache,126,138,109,97,0,0
464,11600,TheMustache,127,139,110,98,0,0
468,11700,TheMustache,128,140,111,99,0,0
472,11800,TheMustache,129,141,112,100,0,0
476,11900,TheMustache,130,142,113,101,0,0
480,12000,TheMustache,132,144,114,102,0,0
484,12100,TheMustache,133,145,114,102,0,0
488,12200,TheMustache,134,146,115,103,0,0
492,12300,TheMustache,135,147,116,104,0,0
496,12400,TheMustache,136,148,117,105,0,0
500,12500,TheMustache,137,150,118,106,0,0
504,12600,TheMustache,138,151,119,107,0,0
508,12700,TheMustache,139,152,120,107,0,0
512,12800,TheMustache,140,153,121,108,0,0
516,12900,TheMustache,141,154,122,109,0,0
520,13000,TheMustache,143,156,123,110,0,0
524,13100,TheMustache,144,157,124,111,0,0
528,13200,TheMustache,145,158,125,112,0,0
532,13300,TheMustache,146,159,126,113,0,0
536,13400,TheMustache,147,160,127,113,0,0
540,13500,TheMustache,148,162,128,114,0,0
544,13600,TheMustache,149,163,129,115,0,0
548,13700,TheMustache,150,164,130,116,0,0
552,13800,TheMustache,151,165,131,117,0,0
556,13900,TheMustache,152,166,132,118,0,0
560,14000,TheMustache,154,168,133,119,0,0
564,14100,TheMustache,155,169,133,119,0,0
568,14200,TheMustache,156,170,134,120,0,0
572,14300,TheMustache,157,171,135,121,0,1
576,14400,TheMustache,158,172,136,122,0,1
580,14500,TheMustache,159,174,137,123,0,1
584,14600,TheMustache,160,175,138,124,0,1
588,14700,TheMustache,161,176,139,124,0,1
592,14800,TheMustache,162,177,140,125,0,1
596,14900,TheMustache,163,178,141,126,0,1
600,15000,TheMustache,165,180,142,127,0,1
604,15100,TheMustache,166,181,143,128,0,1
608,15200,TheMustache,167,182,144,129,0,1
612,15300,TheMustache,168,183,145,130,0,1
616,15400,TheMustache,169,184,146,130,0,1
620,15500,TheMustache,170,186,147,131,0,1
624,15600,TheMustache,171,187,148,132,0,1
628,15700,TheMustache,172,188,149,133,0,1
632,15800,TheMustache,173,189,150,134,0,1
636,15900,TheMustache,174,190,151,135,0,1
640,16000,TheMustache,176,192,152,136,0,1
644,16100,TheMustache,177,193,152,136,0,1
